E (keV),a (cm^2/g),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=600 um),P(xi) (d=700 um),P(xi) (d=800 um),P(xi) (d=900 um),P(xi) (d=1000 um),P(xi) (d=1500 um),P(xi) (d=2000 um),P(xi) (d=2500 um),P(xi) (d=3000 um),P(xi) (d=3500 um),P(xi) (d=4000 um),P(xi) (d=4500 um),P(xi) (d=5000 um),P(xi) (d=6000 um),P(xi) (d=7000 um),P(xi) (d=8000 um),P(xi) (d=9000 um),P(xi) (d=10000 um)
2.63E+001,7.18E+000,7.22E-001,6.14E-001,5.22E-001,4.43E-001,3.77E-001,0.2721268068,0.1965459761,0.1419570574,0.1025297314,0.074052999,0.0534854289,0.0386303207,0.0075926341,0.0014923017,0.0002933059,5.764809247E-005,1.13305006E-005,0.000002227,4.377008722E-007,0.000000086,3.323302565E-009,1.283802439E-010,0,0,0
2.81E+001,5.92E+000,7.65E-001,6.69E-001,5.85E-001,5.12E-001,4.48E-001,0.3423427126,0.2618643388,0.2003049267,0.1532169819,0.1171985329,0.0896473481,0.068572932,0.0179568055,0.004702247,0.0012313508,0.0003224469,8.443733469E-005,2.211112682E-005,5.790115606E-006,1.516224795E-006,0.000000104,7.12966349E-009,4.889019294E-010,0,0
3.00E+001,4.87E+000,8.02E-001,7.18E-001,6.43E-001,5.76E-001,5.16E-001,0.41377042,0.3318557143,0.2661577768,0.2134661515,0.1712059605,0.1373120783,0.1101282151,0.0365466775,0.0121282238,0.0040248204,0.0013356596,0.0004432463,0.0001470938,4.881392195E-005,1.619917894E-005,0.000001784,1.964672669E-007,2.163658944E-008,2.382798976E-009,2.624133982E-010
3.21E+001,4.02E+000,8.34E-001,7.61E-001,6.95E-001,6.35E-001,5.79E-001,0.4831065738,0.402766818,0.3357874193,0.2799465743,0.2333919616,0.1945792975,0.1622211096,0.0653372801,0.0263156884,0.0105990861,0.0042689602,0.0017193955,0.0006925155,0.0002789222,0.0001123406,0.000018224,2.956320906E-006,4.795776578E-007,7.77976198E-008,1.262041621E-008
3.43E+001,3.32E+000,8.61E-001,7.98E-001,7.41E-001,6.87E-001,6.37E-001,0.5483601719,0.4718808791,0.4060680835,0.3494341385,0.3006988781,0.25876068,0.2226715641,0.1050744534,0.0495826255,0.0233970929,0.0110406408,0.0052098673,0.0024584367,0.0011600893,0.000547424,0.0001218957,2.714271695E-005,6.043911236E-006,1.345807168E-006,2.99672987E-007
3.67E+001,2.74E+000,8.83E-001,8.30E-001,7.80E-001,7.33E-001,6.89E-001,0.6082455825,0.5371538642,0.474371343,0.4189268402,0.3699626886,0.326721465,0.2885342738,0.1549873001,0.0832520272,0.0447191481,0.0240210632,0.0129030069,0.0069309,0.0037229597,0.0019998022,0.0005770115,0.0001664876,4.80373752E-005,1.386042917E-005,3.999208866E-006
3.92E+001,2.28E+000,9.02E-001,8.57E-001,8.14E-001,7.73E-001,7.34E-001,0.6620759775,0.5972206117,0.5387183211,0.4859467738,0.4383446,0.3954054203,0.356672459,0.2130121442,0.127215243,0.0759755653,0.0453741736,0.0270983917,0.0161837181,0.00966525,0.0057722865,0.0020588156,0.0007343228,0.0002619127,9.341705759E-005,3.331929165E-005
4.19E+001,1.89E+000,9.18E-001,8.79E-001,8.42E-001,8.07E-001,7.73E-001,0.7096942752,0.6513870608,0.597870263,0.5487503098,0.5036659642,0.462285668,0.424305103,0.2763868539,0.1800348204,0.1172723525,0.076389693,0.0497592576,0.0324125366,0.0211131069,0.0137528047,0.0058353852,0.0024759837,0.0010505725,0.0004457633,0.0001891396
4.48E+001,1.58E+000,9.31E-001,8.98E-001,8.67E-001,8.36E-001,8.07E-001,0.7512308232,0.6993857005,0.6511185949,0.6061825746,0.5643477497,0.5254000955,0.489140358,0.3420977719,0.2392582898,0.1673338266,0.1170308855,0.0818497279,0.0572445293,0.0400360052,0.0280006095,0.0136962282,0.006699378,0.0032769361,0.0016028817,0.0007840341
4.79E+001,1.32E+000,9.42E-001,9.14E-001,8.87E-001,8.61E-001,8.36E-001,0.787070322,0.7413391249,0.6982650504,0.6576937115,0.6194796918,0.5834860237,0.549583698,0.4074278977,0.3020422412,0.2239157307,0.1659974919,0.1230604353,0.0912295154,0.0676320091,0.0501382545,0.0275551673,0.0151438708,0.0083228245,0.0045740887,0.0025138446
5.12E+001,1.11E+000,9.51E-001,9.27E-001,9.04E-001,8.82E-001,8.60E-001,0.8177303845,0.7776114898,0.7394608791,0.7031819861,0.6686829817,0.6358765425,0.604679629,0.4702058272,0.3656374538,0.2843238851,0.2210935199,0.1719248614,0.1336907476,0.1039594614,0.0808400717,0.0488823445,0.029558158,0.017873216,0.0108075696,0.0065351172
5.47E+001,9.37E-001,9.58E-001,9.38E-001,9.19E-001,8.99E-001,8.80E-001,0.8437733391,0.8086903271,0.7750660217,0.7428397717,0.7119534478,0.6823513376,0.6539800451,0.5288673366,0.4276898994,0.3458686847,0.2797006597,0.226191218,0.1829186501,0.147924543,0.119625147,0.0782324591,0.0511624671,0.0334592326,0.0218816704,0.0143101758
5.85E+001,7.95E-001,9.65E-001,9.47E-001,9.30E-001,9.14E-001,8.98E-001,0.8657813751,0.8351419488,0.8055868314,0.77707765,0.7495773895,0.7230503448,0.6974620747,0.5824798363,0.4864533456,0.4062575951,0.3392827597,0.2833492651,0.2366368574,0.1976253663,0.1650452335,0.115112791,0.080286806,0.0559970023,0.0390557854,0.0272399291
6.25E+001,6.79E-001,9.70E-001,9.55E-001,9.40E-001,9.26E-001,9.12E-001,0.8842985846,0.8575286967,0.8315691989,0.8063955589,0.7819839867,0.7583114127,0.7353554656,0.630588414,0.5407476608,0.4637066368,0.3976417479,0.3409892098,0.2924080327,0.2507482791,0.215023845,0.1581189597,0.1162736412,0.0855024576,0.0628746995,0.0462352539
6.68E+001,5.83E-001,9.74E-001,9.61E-001,9.49E-001,9.36E-001,9.24E-001,0.8998303801,0.8763968636,0.8535736062,0.8313447155,0.8096947129,0.7886085229,0.7680714625,0.6731354208,0.5899337715,0.5170161071,0.4531112947,0.3971053175,0.3480218548,0.305005262,0.267305655,0.2053098454,0.1576926332,0.1211192114,0.0930282099,0.0714523132
