E (keV),a (cm^2/g),rho (g/cm^3),P(xi) (d=100 um),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=500 um),P(xi) (d=1000 um)
2.7432,2198.4,19.3,0,5.40E-185,3.97E-277,0,0,0,0.00E+00,0.00E+00
2.757,2173.3,19.3,0,6.86E-183,5.69E-274,0,0,0,0.00E+00,0.00E+00
2.7707,2148.5,19.3,0,8.23E-181,7.46E-271,0,0,0,0.00E+00,0.00E+00
2.7846,2124.1,19.3,0,9.13E-179,8.72E-268,0,0,0,0.00E+00,0.00E+00
2.7985,2100,19.3,0,9.56E-177,9.35E-265,0,0,0,0.00E+00,0.00E+00
2.8125,2076.2,19.3,0,9.45E-175,9.18E-262,0,0,0,0.00E+00,0.00E+00
2.814,2073.7,19.3,0,1.53E-174,1.89E-261,0,0,0,0.00E+00,0.00E+00
2.8252,2147.4,19.3,0,1.02E-180,1.03E-270,0,0,0,0.00E+00,0.00E+00
2.8266,2145,19.3,0,1.62E-180,2.06E-270,0,0,0,0.00E+00,0.00E+00
2.8407,2121.1,19.3,0,1.63E-178,2.08E-267,0,0,0,0.00E+00,0.00E+00
2.8549,2097.5,19.3,0,1.55E-176,1.93E-264,0,0,0,0.00E+00,0.00E+00
2.8692,2074.1,19.3,0,1.42E-174,1.69E-261,0,0,0,0.00E+00,0.00E+00
2.8835,2051.1,19.3,0,1.20E-172,1.31E-258,0,0,0,0.00E+00,0.00E+00
2.898,2028.3,19.3,0,9.78E-171,9.67E-256,0,0,0,0.00E+00,0.00E+00
2.9124,2005.7,19.3,0,7.67E-169,6.71E-253,0,0,0,0.00E+00,0.00E+00
2.927,1983.5,19.3,0,5.56E-167,4.15E-250,0,0,0,0.00E+00,0.00E+00
2.9416,1961.4,19.3,0,3.96E-165,2.49E-247,0,0,0,0.00E+00,0.00E+00
2.9564,1939.6,19.3,0,2.66E-163,1.37E-244,0,0,0,0.00E+00,0.00E+00
2.9711,1918.1,19.3,0,1.69E-161,6.93E-242,2.8700E-322,0,0,0.00E+00,0.00E+00
2.986,1896.9,19.3,0,1.01E-159,3.21E-239,1.0188E-318,0,0,0.00E+00,0.00E+00
3.0009,1875.8,19.3,0,5.92E-158,1.44E-236,3.5096E-315,0,0,0.00E+00,0.00E+00
3.0159,1853.2,19.3,0,4.64E-156,1.00E-233,2.1571E-311,0,0,0.00E+00,0.00E+00
3.031,1830.9,19.3,0,3.44E-154,6.37E-231,1.18E-307,0,0,0.00E+00,0.00E+00
3.0462,1808.9,19.3,0,2.40E-152,3.72E-228,5.76E-304,0,0,0.00E+00,0.00E+00
3.0614,1787.1,19.3,0,1.61E-150,2.05E-225,2.60E-300,0,0,0.00E+00,0.00E+00
3.0767,1765.6,19.3,0,1.02E-148,1.03E-222,1.04E-296,0,0,0.00E+00,0.00E+00
3.0921,1744.3,19.3,0,6.23E-147,4.92E-220,3.89E-293,0,0,0.00E+00,0.00E+00
3.1075,1723.3,19.3,0,3.59E-145,2.15E-217,1.29E-289,0,0,0.00E+00,0.00E+00
3.1231,1702.5,19.3,0,1.99E-143,8.86E-215,3.95E-286,0,0,0.00E+00,0.00E+00
3.1387,1682,19.3,0,1.04E-141,3.35E-212,1.08E-282,0,0,0.00E+00,0.00E+00
3.1544,1661.8,19.3,0,5.13E-140,1.16E-209,2.63E-279,0,0,0.00E+00,0.00E+00
3.1702,1641.8,19.3,0,2.43E-138,3.80E-207,5.92E-276,0,0,0.00E+00,0.00E+00
3.186,1622,19.3,0,1.11E-136,1.17E-204,1.24E-272,0,0,0.00E+00,0.00E+00
3.2019,1602.4,19.3,0,4.88E-135,3.41E-202,2.38E-269,0,0,0.00E+00,0.00E+00
3.2179,1583.1,19.3,0,2.02E-133,9.11E-200,4.10E-266,0,0,0.00E+00,0.00E+00
3.234,1564,19.3,0,8.08E-132,2.30E-197,6.53E-263,0,0,0.00E+00,0.00E+00
3.2502,1545.2,19.3,0,3.04E-130,5.31E-195,9.25E-260,0,0,0.00E+00,0.00E+00
3.2665,1526.5,19.3,0,1.12E-128,1.19E-192,1.26E-256,1.3380E-320,0,0.00E+00,0.00E+00
3.2828,1508.1,19.3,0,3.92E-127,2.45E-190,1.53E-253,9.5948E-317,0,0.00E+00,0.00E+00
3.2992,1490,19.3,0,1.29E-125,4.62E-188,1.66E-250,5.9544E-313,0,0.00E+00,0.00E+00
3.3157,1472,19.3,0,4.16E-124,8.47E-186,1.73E-247,0.00E+00,0,0.00E+00,0.00E+00
3.3323,1454.2,19.3,0,1.29E-122,1.47E-183,1.66E-244,1.89E-305,0,0.00E+00,0.00E+00
3.3489,1436.7,19.3,0,3.78E-121,2.32E-181,1.43E-241,8.78E-302,0,0.00E+00,0.00E+00
3.3657,1419.3,19.3,0,1.09E-119,3.58E-179,1.18E-238,3.89E-298,0,0.00E+00,0.00E+00
3.3825,1402.1,19.3,0,3.00E-118,5.21E-177,9.02E-236,1.56E-294,0,0.00E+00,0.00E+00
3.3994,1385.2,19.3,0,7.84E-117,6.94E-175,6.14E-233,5.44E-291,0,0.00E+00,0.00E+00
3.4164,1368.4,19.3,0,2.01E-115,8.98E-173,4.02E-230,1.80E-287,0,0.00E+00,0.00E+00
3.4335,1351.9,19.3,0,4.85E-114,1.07E-170,2.35E-227,5.17E-284,0,0.00E+00,0.00E+00
3.4507,1335.5,19.3,0,1.15E-112,1.23E-168,1.32E-224,1.41E-280,0,0.00E+00,0.00E+00
3.4679,1319.4,19.3,0,2.57E-111,1.30E-166,6.59E-222,3.34E-277,0,0.00E+00,0.00E+00
3.4853,1303.4,19.3,0,5.63E-110,1.34E-164,3.17E-219,7.52E-274,0,0.00E+00,0.00E+00
3.5027,1287.7,19.3,0,1.17E-108,1.26E-162,1.36E-216,1.47E-270,0,0.00E+00,0.00E+00
3.5202,1272.1,19.3,0,2.37E-107,1.15E-160,5.60E-214,2.72E-267,1.3250E-320,0.00E+00,0.00E+00
3.5378,1256.8,19.3,0,4.53E-106,9.65E-159,2.06E-211,4.38E-264,9.3210E-317,0.00E+00,0.00E+00
3.5555,1241.6,19.3,0,8.52E-105,7.87E-157,7.26E-209,6.70E-261,6.1888E-313,0.00E+00,0.00E+00
3.5733,1226.7,19.3,0,1.51E-103,5.88E-155,2.28E-206,8.88E-258,0.00E+00,0.00E+00,0.00E+00
3.5911,1211.9,19.3,0,2.63E-102,4.27E-153,6.92E-204,1.12E-254,1.82E-305,0.00E+00,0.00E+00
