E (keV),a (cm^2/g),rho (g/cm^3),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=600 um),P(xi) (d=700 um),P(xi) (d=800 um),P(xi) (d=900 um),P(xi) (d=1000 um),P(xi) (d=1500 um),P(xi) (d=2000 um),P(xi) (d=2500 um),P(xi) (d=3000 um),P(xi) (d=3500 um),P(xi) (d=4000 um),P(xi) (d=4500 um),P(xi) (d=5000 um),P(xi) (d=6000 um),P(xi) (d=7000 um),P(xi) (d=8000 um),P(xi) (d=9000 um),P(xi) (d=10000 um)
4.33E+00,1.90E+02,,2.34E-07,1.13E-10,5.46E-14,2.64E-17,1.28E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.63E+00,1.58E+02,,3.09E-06,5.44E-09,9.57E-12,1.68E-14,2.96E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.95E+00,1.31E+02,,2.61E-05,1.34E-07,6.83E-10,3.49E-12,1.79E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.30E+00,1.09E+02,,1.53E-04,1.89E-06,2.33E-08,2.88E-10,3.55E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.66E+00,9.13E+01,,6.57E-04,1.68E-05,4.31E-07,1.11E-08,2.83E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.87E+00,8.32E+01,,1.26E-03,4.47E-05,1.59E-06,5.62E-08,2.00E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.96E+00,7.97E+01,,1.66E-03,6.77E-05,2.76E-06,1.12E-07,4.58E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.98E+00,7.88E+01,,1.79E-03,7.55E-05,3.19E-06,1.35E-07,5.71E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.02E+00,1.57E+02,,3.35E-06,6.14E-09,1.12E-11,2.06E-14,3.77E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.05E+00,1.55E+02,,4.08E-06,8.25E-09,1.67E-11,3.37E-14,6.80E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.11E+00,1.51E+02,,5.57E-06,1.31E-08,3.10E-11,7.31E-14,1.73E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.41E+00,1.32E+02,,2.41E-05,1.18E-07,5.81E-10,2.85E-12,1.40E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.47E+00,1.29E+02,,3.24E-05,1.85E-07,1.05E-09,5.99E-12,3.41E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.51E+00,1.27E+02,,3.73E-05,2.28E-07,1.39E-09,8.48E-12,5.18E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.53E+00,1.26E+02,,4.11E-05,2.63E-07,1.69E-09,1.08E-11,6.93E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.57E+00,1.32E+02,,2.49E-05,1.24E-07,6.19E-10,3.09E-12,1.54E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.67E+00,1.27E+02,,3.68E-05,2.24E-07,1.36E-09,8.24E-12,5.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+00,1.15E+02,,9.76E-05,9.64E-07,9.52E-09,9.40E-11,9.29E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.97E+00,1.13E+02,,1.16E-04,1.25E-06,1.35E-08,1.45E-10,1.56E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.08E+00,1.09E+02,,1.62E-04,2.07E-06,2.63E-08,3.35E-10,4.27E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.10E+00,1.08E+02,,1.77E-04,2.36E-06,3.14E-08,4.18E-10,5.56E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.15E+00,3.64E+02,,2.05E-13,9.27E-20,4.19E-26,1.90E-32,8.59E-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.25E+00,3.49E+02,,6.95E-13,5.80E-19,4.84E-25,4.03E-31,3.36E-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.39E+00,3.30E+02,,3.12E-12,5.50E-18,9.71E-24,1.71E-29,3.02E-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.90E+00,2.77E+02,,2.26E-10,3.40E-15,5.10E-20,7.67E-25,1.15E-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.17E+00,2.56E+02,,1.21E-09,4.21E-14,1.46E-18,5.09E-23,1.77E-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.29E+00,2.46E+02,,2.68E-09,1.38E-13,7.16E-18,3.71E-22,1.92E-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.32E+00,2.43E+02,,3.31E-09,1.90E-13,1.09E-17,6.29E-22,3.62E-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.37E+00,2.67E+02,,4.81E-10,1.05E-14,2.31E-19,5.07E-24,1.11E-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.45E+00,2.61E+02,,8.12E-10,2.31E-14,6.59E-19,1.88E-23,5.35E-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.50E+00,2.57E+02,,1.10E-09,3.64E-14,1.21E-18,4.00E-23,1.32E-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.03E+00,2.19E+02,,2.25E-08,3.38E-12,5.07E-16,7.60E-20,1.14E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.65E+00,1.84E+02,,3.99E-07,2.52E-10,1.59E-13,1.00E-16,6.34E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03E+01,1.53E+02,,4.50E-06,9.55E-09,2.03E-11,4.30E-14,9.12E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10E+01,1.28E+02,,3.43E-05,2.01E-07,1.18E-09,6.88E-12,4.03E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18E+01,1.07E+02,,1.86E-04,2.54E-06,3.47E-08,4.74E-10,6.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26E+01,8.93E+01,,7.70E-04,2.13E-05,5.92E-07,1.64E-08,4.56E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35E+01,7.45E+01,,2.52E-03,1.26E-04,6.34E-06,3.18E-07,1.60E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44E+01,6.21E+01,,6.81E-03,5.63E-04,4.64E-05,3.83E-06,3.16E-07,2.16E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54E+01,5.15E+01,,1.59E-02,2.01E-03,2.54E-04,3.21E-05,4.05E-06,6.46E-08,0.000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65E+01,4.28E+01,,3.23E-02,5.79E-03,1.04E-03,1.87E-04,3.36E-05,1.08E-06,3.49E-08,1.13E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76E+01,3.55E+01,,5.80E-02,1.40E-02,3.36E-03,8.10E-04,1.95E-04,1.13E-05,6.57E-07,3.81E-08,2.21E-09,1.28E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.88E+01,2.94E+01,,9.43E-02,2.90E-02,8.90E-03,2.73E-03,8.39E-04,7.91E-05,7.47E-06,7.04E-07,6.64E-08,6.26E-09,5.91E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01E+01,2.44E+01,,1.41E-01,5.30E-02,1.99E-02,7.47E-03,2.81E-03,0.000395836,5.58E-05,7.88E-06,1.11E-06,1.57E-07,2.21E-08,3.12E-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15E+01,2.02E+01,,1.97E-01,8.73E-02,3.87E-02,1.72E-02,7.62E-03,0.001500377,0.000295291,5.81E-05,0.000011438,2.25E-06,0.000000443,8.72E-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30E+01,1.68E+01,,2.59E-01,1.32E-01,6.73E-02,3.43E-02,1.74E-02,0.004524589,0.001173475,0.000304347,7.89E-05,2.05E-05,5.31E-06,0.000001377,1.62E-09,0,0,0,0,0,0,0,0,0,0,0,0
2.46E+01,1.40E+01,,3.26E-01,1.86E-01,1.06E-01,6.07E-02,3.46E-02,0.011288349,0.003679494,0.001199349,0.000390934,0.000127427,4.15E-05,1.35E-05,4.98E-08,1.83E-10,0,0,0,0,0,0,0,0,0,0,0
2.63E+01,1.16E+01,,3.94E-01,2.47E-01,1.55E-01,9.74E-02,6.11E-02,0.024080251,0.00948585,0.003736728,0.001471996,0.000579859,0.000228422,9.00E-05,8.54E-07,8.10E-09,0,0,0,0,0,0,0,0,0,0,0
2.81E+01,9.60E+00,,4.63E-01,3.15E-01,2.14E-01,1.46E-01,9.90E-02,0.045825605,0.021202411,0.009809849,0.004538782,0.002099986,0.000971613,0.000449542,9.53E-06,2.02E-07,4.28E-09,0,0,0,0,0,0,0,0,0,0
3.00E+01,7.93E+00,,5.29E-01,3.85E-01,2.80E-01,2.03E-01,1.48E-01,0.078181794,0.041341101,0.021860417,0.011559389,0.006112393,0.003232122,0.001709087,7.07E-05,0.000002921,1.21E-07,0.000000005,2.06E-10,0,0,0,0,0,0,0,0
3.21E+01,6.55E+00,,5.91E-01,4.54E-01,3.49E-01,2.68E-01,2.06E-01,0.121931696,0.072051955,0.042576987,0.02515962,0.014867338,0.008785417,0.005191484,0.000374057,2.70E-05,1.94E-06,1.40E-07,1.01E-08,7.26E-10,0,0,0,0,0,0,0
