E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=1000 um),P(xi) (d=2000 um),P(xi) (d=3000 um)
1.14E+00,5.82E+03,,5.0199E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.22E+00,4.99E+03,,4.3055E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.30E+00,4.28E+03,,3.6922E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.39E+00,3.67E+03,,3.1636E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.49E+00,3.14E+03,,2.7056E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.59E+00,2.68E+03,,2.3122E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.70E+00,2.28E+03,,1.9718E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.82E+00,1.95E+03,,1.6813E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.95E+00,1.66E+03,,1.4351E+04,,0.0000E+00,0.0000E+00,0.0000E+00
2.08E+00,1.42E+03,,1.2261E+04,,0.0000E+00,0.0000E+00,0.0000E+00
2.22E+00,1.21E+03,,1.0479E+04,,0.0000E+00,0.0000E+00,0.0000E+00
2.38E+00,1.04E+03,,8.9453E+03,,0.0000E+00,0.0000E+00,0.0000E+00
2.54E+00,8.83E+02,,7.6211E+03,,0.0000E+00,0.0000E+00,0.0000E+00
2.72E+00,7.52E+02,,6.4905E+03,,1.3158E-282,0.0000E+00,0.0000E+00
2.90E+00,6.41E+02,,5.5344E+03,,4.4214E-241,0.0000E+00,0.0000E+00
3.11E+00,5.42E+02,,4.6746E+03,,9.6330E-204,0.0000E+00,0.0000E+00
3.32E+00,4.53E+02,,3.9110E+03,,1.4061E-170,0.0000E+00,0.0000E+00
3.47E+00,4.04E+02,,3.4900E+03,,2.6999E-152,7.2897E-304,0.0000E+00
3.52E+00,3.88E+02,,3.3453E+03,,5.2095E-146,2.7139E-291,0.0000E+00
3.53E+00,3.83E+02,,3.3073E+03,,2.3316E-144,5.4366E-288,0.0000E+00
3.55E+00,7.51E+02,,6.4785E+03,,4.3740E-282,0.0000E+00,0.0000E+00
3.56E+00,7.47E+02,,6.4492E+03,,8.1968E-281,0.0000E+00,0.0000E+00
3.61E+00,7.21E+02,,6.2248E+03,,4.5803E-271,0.0000E+00,0.0000E+00
3.65E+00,7.00E+02,,6.0437E+03,,3.3544E-263,0.0000E+00,0.0000E+00
3.71E+00,6.75E+02,,5.8217E+03,,1.4746E-253,0.0000E+00,0.0000E+00
3.72E+00,6.68E+02,,5.7616E+03,,5.9762E-251,0.0000E+00,0.0000E+00
3.75E+00,8.32E+02,,7.1794E+03,,1.5987E-312,0.0000E+00,0.0000E+00
3.79E+00,8.05E+02,,6.9486E+03,,1.6877E-302,0.0000E+00,0.0000E+00
3.80E+00,8.01E+02,,6.9116E+03,,6.7826E-301,0.0000E+00,0.0000E+00
3.94E+00,7.33E+02,,6.3263E+03,,1.7861E-275,0.0000E+00,0.0000E+00
4.00E+00,7.04E+02,,6.0782E+03,,1.0653E-264,0.0000E+00,0.0000E+00
4.01E+00,6.97E+02,,6.0136E+03,,6.7722E-262,0.0000E+00,0.0000E+00
4.04E+00,7.66E+02,,6.6108E+03,,7.8671E-288,0.0000E+00,0.0000E+00
4.06E+00,7.58E+02,,6.5389E+03,,1.0407E-284,0.0000E+00,0.0000E+00
4.10E+00,7.38E+02,,6.3676E+03,,2.8861E-277,0.0000E+00,0.0000E+00
4.25E+00,6.72E+02,,5.7990E+03,,1.4215E-252,0.0000E+00,0.0000E+00
4.32E+00,6.45E+02,,5.5679E+03,,1.5423E-242,0.0000E+00,0.0000E+00
4.33E+00,6.39E+02,,5.5146E+03,,3.1821E-240,0.0000E+00,0.0000E+00
4.34E+00,6.38E+02,,5.5080E+03,,6.1974E-240,0.0000E+00,0.0000E+00
4.36E+00,9.34E+02,,8.0628E+03,,0.0000E+00,0.0000E+00,0.0000E+00
4.43E+00,8.96E+02,,7.7366E+03,,0.0000E+00,0.0000E+00,0.0000E+00
4.52E+00,8.45E+02,,7.2964E+03,,1.3206E-317,0.0000E+00,0.0000E+00
4.59E+00,8.09E+02,,6.9841E+03,,4.8119E-304,0.0000E+00,0.0000E+00
4.61E+00,8.00E+02,,6.9048E+03,,1.3387E-300,0.0000E+00,0.0000E+00
