,Dist,Energy,NT,TH
94,0.209564257017,50.57996633,0.209564257017,0.209564253235
95,0.202061738087,51.0808080808,0.202061738087,0.202061735293
96,0.194897130225,51.5816498316,0.194897130225,0.194897128161
97,0.188052151377,52.0824915825,0.188052151377,0.188052149853
98,0.181509671194,52.5833333333,0.181509671194,0.181509670069
99,0.175253628421,53.0841750842,0.175253628421,0.175253627589
100,0.169268954925,53.585016835,0.169268954925,0.169268954309
101,0.163541505766,54.0858585859,0.163541505766,0.16354150531
102,0.158057994785,54.5867003367,0.158057994785,0.158057994448
103,0.152805935219,55.0875420875,0.152805935219,0.15280593497
104,0.147773584919,55.5883838384,0.147773584919,0.147773584735
105,0.142949895768,56.0892255892,0.142949895768,0.142949895632
106,0.138324466951,56.5900673401,0.138324466951,0.13832446685
